,Headline,Price,Address,Bedrooms,Bathrooms,Balcony,Super Area,Price per sqft,Status,Transaction Type,Floor,Car parking,Furnished status,Lifts,Description,Price breakup,Address,Landmarks,Age of construction,Price comparison,Expected rent,Monthly EMI,Owner/Builder
128,1 BHK 780 Sq-ft Flat,31.1 Lac,"Bannerghatta Main Road, Bangalore",1,1,0,780,"3,987",Under Construction,New,3 (Out of 3 floors),None,,"Yes, 1","The time has well and truly arrived. To stop racing against time. And put life way ahead. With Opera Springleaf, par excellence apartments at a vantage point on Kodichikanahalli Off Bannerghatta Road, you are close to all places serving all your interests. Your workplace, in particular. And the shopping hubs, schools, colleges, hospitals, socializing avenues, amusement destinations. just about everything.",31.1 Lac,"Bannerghatta Road, Bangalore - South, Karnataka",,,,,"15,772 per month 15.6 Lac loan for 15 years ",Shushanth
129,Residential Plot,56.3 Lac,"JR Urbania,Chandapura,Bangalore",0,0,0,2400,,,,,None,,"Yes, s","JR Urbania by JR Housing offers BMRDA approved residential plots, sites/lands for sale near Electronic city Bangalore. With easy access via Hosur Road, Bannerghatta Road, chandapura-anekal road & Hoskote, you'll be just minutes away from Electronics City. Rest assured your investment is bound to get you rich dividends while you spend some quality time with your family.",56.3 Lac,"Chandapura, Bangalore - South, Karnataka",,,,,"28,552 per month 28.2 Lac loan for 15 years ",Niranjan Reddy
130,3 BHK 1758 Sq-ft Flat,82.3 Lac,"Marathahalli, Bangalore",3,3,0,1758,"4,681",Ready to Move,New,,None,Unfurnished,"Yes, s","Saranya Soham is one of the popular Residential Developments in Kundalahalli neighbourhood of Bangalore. It is among the Launching Project of Saranya Group. The landscape is beautiful with spacious 4 Blocks of 2 & 3 BHK high End apartments. Saranya Soham offers luxurious apartments with all modern amenities. Our projects have unique design features, high quality finish and world-class amenities.",82.3 Lac,"Marathahalli, Bangalore - East, Karnataka",,,4.7% higher than the avg. price,,"41,737 per month 41.2 Lac loan for 15 years ",Lohith C
131,3 BHK 1653 Sq-ft Flat,82.4 Lac,"Whitefield, Bangalore",1,3,0,1653,"4,985",Ready to Move,New,12 (Out of 13 floors),1 Covered,,"Yes, 2","Enjoy Life in its Vibrant hues Oceanus Classic, as its name rightly suggests, is all about living life in its vibrant hues and splendour. This apartment complex, located at White Field Road, close to IT Park, Bangalore, comprises 2 & 3 BHK luxury living spaces. Oceanus Classic boasts of all the features that make for a gracious lifestyle. Besides, a leisurely stroll away, is the best of shopping and recreational avenues. Excellent educational institutions and medical facilities too, are close at hand.",82.4 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"41,788 per month 41.2 Lac loan for 15 years ",Jacob
132,3 BHK 1645 Sq-ft Flat,59.2 Lac,"Singapura, Bangalore",3,3,0,1645,"3,600",Under Construction,New,5 (Out of 10 floors),"1 Covered, 1 Open",,"Yes, 2","We understand the value of your hard-earned money. We know the hard work you put in to fulfill your familys dreams. We realize how difficult it is to give up your familiar surroundings and venture into a whole new territory. And yes, we feel you deserve more, much more. Thats why we bring you smr vinay estella - a perfect balance of location, design, comfort and affordability. To experience a perfectly balanced lifestyle, heres where you should be.",59.2 Lac,"Singapura, Bangalore - North, Karnataka",,,,,"30,032 per month 29.6 Lac loan for 15 years ",Mohammed Younus
133,2 BHK 1315 Sq-ft Flat,59.6 Lac,"Varthur, Bangalore",2,2,0,1315,"4,532",Under Construction,New,,None,,"Yes, s","ATZ Estrella is a latest premium apartment proudly announce by ATZ Properties. ATZ Estrella is set in naturally move by premium 2 BHK and 3 BHK flats sprawled across 1.17 acres of total Land. The project homes are located just 100m from Varthur Main Road.ATZ Estrella designed with a green open courtyard style green patch where the perfect place to catch up on the lives of neighbours, chat and build a friendly community. The project comes with one side of the apartment face is the courtyard, giving a feel of greenery and fresh air, with jogging trail, green lawns, vast open spaces. ATZ Estrella Price is affordable that are perfectly planned to offer indoor comfort and outdoor open spaces. ATZ Estrella Reviews, the classy, the stand-alone Clubhouse has a health club with sauna, steam, gym, aerobics, etc. Tennis court, infinity pool for adults and kids, pool, basketball court, amphitheatre in fact everything to keep both mind and body fit.",59.6 Lac,"Varthur, Bangalore - East, Karnataka",,,,,"30,225 per month 29.8 Lac loan for 15 years ",ATZ Properties
134,2 BHK Residential House - 900 Sq-ft,60.0 Lac,se K R Puram,2,2,0,900,"6,667",Under Construction,New,,None,Unfurnished,No,"NS Paradise Township is one of the popular residential developments in K R Puram, neighbourhood of Bangalore. It is among the ongoing projects of NS Developers. It has lavish yet thoughtfully designed residences.",60.0 Lac,"K R Puram, Bangalore - East, Karnataka",,,,,"30,428 per month 30 Lac loan for 15 years ",Harish
135,2 BHK 1299 Sq-ft Flat,56.8 Lac,"Sarjapur Road, Bangalore",2,2,0,1299,"4,375",Under Construction,New,,1 Covered,,"Yes, 1","Leading names in Architecture, Landscaping and Planning have come together to create the perfect living precinct, that is Land Capital Primero. The rooftop clubhouse Club Primero features a Sky Pool, Game Zone and fully-loaded Gymnasium, among other state-of-the-art amenities. With all this and so much more, Land Capital Primero is the perfect place to call home.",56.8 Lac,"Sarjapur Road, Bangalore - East, Karnataka",,,,,"28,821 per month 28.4 Lac loan for 15 years ",Bhagyaraj
136,3 BHK 1725 Sq-ft Flat,94.9 Lac,"Hosa Road, Bangalore",1,3,0,1725,"5,500",Ready to Move,New,10 (Out of 14 floors),1 Covered,,"Yes, 2","Mahaveer Ranches Parappana Agrahara, Off Sarjapur Road, have been developed by Mahaveer Group and is meticulously designed with unbound convenience & the best of amenities and are an effortless blend of modernity and elegance. Mahaveer Ranches sale has started to increase since the builder's understand the aesthetics of a perfectly harmonious space called ""Home"" that is why it offers unique blend of spacious as well as well-ventilated rooms. Mahaveer Ranches brochure shows the in detail and best utilization of the space.",94.9 Lac,"Hosa Road, Bangalore - South, Karnataka",,,3.2% higher than the avg. price,,"48,114 per month 47.4 Lac loan for 15 years ",Pulkit Gupta
137,2 BHK 1256 Sq-ft Flat,68.4 Lac,"Whitefield, Bangalore",2,2,0,1256,"5,448",Under Construction,New,,1 Covered,,"Yes, 2",SV Legacy Contemporary architectural form is a compelling contrast to the surrounding precinct and brings distinguishes character to the city sky line. SV Legacy sets in motion a lifestyle legacy like no other near Hope Farm Circle.,68.4 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"34,699 per month 34.2 Lac loan for 15 years ",Madhu Konda
138,2 BHK 1140 Sq-ft Flat,49.0 Lac,"Marathahalli, Bangalore",1,2,0,1140,"4,298",Ready to Move,New,,1 Covered,Furnished,"Yes, 2","Saranya Soham is one of the popular Residential Developments in Kundalahalli neighbourhood of Bangalore. It is among the Launching Project of Saranya Group. The landscape is beautiful with spacious 4 Blocks of 2 & 3 BHK high End apartments. Saranya Soham offers luxurious apartments with all modern amenities. Our projects have unique design features, high quality finish and world-class amenities. A rare promise to keep in today's warming real estate market, every property is on schedule and construction is progressing at an aggressive pace. The customers can count on us for all property related requirements whether small or big. Forever in pursuit of better customer service, Saranya Group provides revolutionary and innovative financial services for their customers with unique partnerships with leading financial institutions across the country.",49.0 Lac,"Marathahalli, Bangalore - East, Karnataka",,,3.8% lower than the avg. price,,"24,850 per month 24.5 Lac loan for 15 years ",Kiran
139,2 BHK 955 Sq-ft Flat,44.0 Lac,"Kadugodi, Bangalore",1,2,0,955,"4,607",Under Construction,New,1 (Out of 4 floors),None,,"Yes, 3","5 Elements, a premium lifestyle apartment strategically located in Whitefield. This luxury lifestyle apartment offers 5 floors of premium 2 BHK and 3 BHK flats. Each designed sophisticatedly for spacious interiors, ample lighting and lavish modern facilities. Spread over 75000 SQFT compound, 5 elements beautifully combines the essence of modern urban living with the peaceful ambiance with a complete balance on the five elements of nature.",44.0 Lac,"Whitefield, Bangalore, Kadugodi, Bangalore - East, Karnataka",,,,,"22,314 per month 22 Lac loan for 15 years ",Anand Naidu
140,3 BHK 1490 Sq-ft Flat,49.9 Lac,"Electronics City Phase 1, Bangalore",3,3,0,1490,"3,349",Ready to Move,New,,1 Covered,Semi-Furnished,"Yes, 2","This East facing apartment is located at Electronic City Phase I, Bangalore. It is spread across 5 acres with lots of open spaces.",49.9 Lac,"Electronics City Phase 1, Bangalore - South, Karnataka",,New Construction,,,"25,306 per month 25 Lac loan for 15 years ",Narendra Chary
141,2 BHK 1196 Sq-ft Flat,40.5 Lac,"Rajarajeshwari Nagar, Bangalore",2,2,1,1196,"3,386",Ready to Move,New,,"1 Covered, 1 Open",,"Yes, 3","Grand Gandharva is Situated in Mysore Road, west of Bangalore,The landmark, aptly away from the hustle and bustle of the city makes you and your family secure, easy connectivity from Nice Road to International Airport,IT hub Electronic City and all parts of city. Surrounded by International educational Institutions, Hospitals and Shopping malls.The complete luxurious lifestyles experience at Grand Ghandharva designer Club house that endeavours rich relaxing ambience with facilities you and your family need to rejuvenate and celebrate.",40.5 Lac,"Rajarajeshwari Nagar, Bangalore - South, Karnataka",Near by Bata Showroom,New Construction,,,"20,539 per month 20.3 Lac loan for 15 years ",Sukruth
142,2 BHK 1201 Sq-ft Flat,80.8 Lac,"JP Nagar Phase 7, Bangalore",1,2,0,1201,"6,731",Under Construction,New,3 (Out of 3 floors),None,,"Yes, 1","These flats for sale in JP Nagar, Bangalore offer a system of no common wall that eliminates all the discomforts from sharing a common wall. The distinct feature in its design has enabled to keep away from the disturbances from the next door and offers better privacy as well. These luxurious flats in JP Nagar also include a landscaped terrace garden as well as a swimming pool at the terrace level to bring in a ray of refreshing air to the buzzing life. Mahaveer Jasper, with its strategic position, image emblematic and contemporary design that stands out from the rest, is distinct in appearance and beautifully designed to meet convenience and amenities, all in one hand.",80.8 Lac,"JP Nagar Phase 7, Bangalore, JP Nagar Phase 7, Bangalore - South, Karnataka",,,,,"40,997 per month 40.4 Lac loan for 15 years ",Mahaveer
143,3 BHK Flat,71.7 Lac,"Tumkur Road, Bangalore",3,3,0,1022,"7,015",Under Construction,New,,None,Unfurnished,"Yes, s","The apartments at Arvind Oasis are skilfully outlined using modern themes and latest technologies. The science of space is thoughtfully applied to create vaastu compliant, capacious and upscale abodes, best suited for urban livelihood.",71.7 Lac,"Tumkur Road, Bangalore, Tumkur Road, Bangalore - West, Karnataka",,,,,"36,358 per month 35.8 Lac loan for 15 years ",Arvind Khatri
144,2 BHK 1120 Sq-ft Flat,36.9 Lac,"Electronics City Phase 1, Bangalore",2,2,0,1120,"3,299",Under Construction,New,,None,,"Yes, s","Murari Grand is one of the residential developments by Murari Builders, located in Bangalore. The project offers 2BHK and 3BHK flats at very competitive and affordable price. It is well planned and is built with all modern amenities.",36.9 Lac,"Electronics City Phase 1, Bangalore - South, Karnataka",,,,,"18,738 per month 18.5 Lac loan for 15 years ",Kiran Mupiri
145,3 BHK 2850 Sq-ft Flat,2.80 Cr,"Hebbal, Bangalore",3,3,2,2850,"9,824",Under Construction,New,,2 Covered,,"Yes, 3","This Multistorey Apartment at Ground faces North & overlooks Garden/Park, Pool offering a beautiful view from the house. The type of ownership is Freehold. and Store Room are additionally available. Separate servant quarter is provided. Reserved covered car parking for residents available. Bank loans available from Axis Bank, SBI, HDFC, ICICI, IDBI, Deutsche Bank, Karur Vysya Bank, HSBC, DHFL, LIC Housing Finance.",2.80 Cr,"Hebbal, Hebbal, Bangalore - North, Karnataka","Hebbal, International Airport Roa",,1.6% higher than the avg. price,,1.4 Lac per month 1.40 Cr loan for 15 years ,Stanley
146,3 BHK 1432 Sq-ft Flat,69.1 Lac,"Jakkuru Layout, Bangalore",3,3,0,1432,"4,824",Under Construction,New,,1 Covered,,"Yes, 1","SLV Essenza, is a residential development of SLV Structures, located in Jakkur road Bangalore. It offers spacious and skillfully designed 2BHK and 3BHK apartments. The project is well equipped with all the basic amenities to facilitate the needs of the residents.The site is in close proximity to various civic utilities like educational institutes, work place, hospitals & malls and entertainment.Kempegowda international airport is just 19 minutes drive.Swimming Pool, Gym, Multi Purpose Hall, CCTV, Intercom Facility, Rain Water Harvesting, Jogging Track, Children Play Area, Power backup.",69.1 Lac,"Jakkur, Bangalore, Jakkuru Layout, Bangalore - North, Karnataka",,,,,"35,039 per month 34.5 Lac loan for 15 years ",Merit Homes
147,3 BHK 3531 Sq-ft Flat,3.53 Cr,"Hebbal, Bangalore",3,3,2,3531,"10,000",Ready to Move,New,20 (Out of 22 floors),2 Covered,,"Yes, 4","Multistorey apartment is available for sale at Embassy Lake Terraces, our designers and engineers have taken particular care in ensuring privacy, total security and a high quality of life with landscaped terraces, viewing decks and of course, the jogging trail, this aero-promenade raises the bar for residential leisure spaces. It has wall to wall glass facades, 3.4 meter high ceilings and Italian marble in our air-conditioned apartments heighten the sense of luxury, while the engineered wooden flooring gives you the comfort that you are on a firm footing. This is luxury at its finest.",3.53 Cr,"Hebbal Flyover Main Road, Bangalore, Karnataka, India, Hebbal, Bangalore - North, Karnataka",Near to Columbia Asia Hospital.,New Construction,10.7% lower than the avg. price,,1.5 Lac per month 1.76 Cr loan for 15 years ,Bhavesh Kothari
148,1 BHK 660 Sq-ft Flat,56.0 Lac,"Binnypete, Bangalore",1,1,1,660,"8,484",Under Construction,New,8 (Out of 32 floors),None,,"Yes, 4","Parkwest is a premium residential project by Shapoorji Pallonji, located in Binny Pete, West Bangalore. This magnificent project offers a variety of choices for varying needs. With residences ranging from studio apartments to 2BHK and 3BHK apartments and penthouses; this luxury project is surrounded by lush greenery and ample open spaces to offer a lifetime experience to the buyers. MAPLEElevation G+31 floorsStructure Wing A, B , C with four elevators and two staircase in each wing. 16 Units Floor",56.0 Lac,"Binnypete, Bangalore, Binnypete, Bangalore - Central, Karnataka",Victoriya HospitalMantri MallGopalan LegacyMajestic Railway Station,,6.4% higher than the avg. price,,"28,399 per month 28 Lac loan for 15 years ",Neetu
149,4 BHK 2757 Sq-ft Flat for Sale in JP Nagar,2.48 Cr,"JP Nagar,Bangalore",4,4,0,2757,"8,999",,,,None,Unfurnished,No,We are happy to announce Pinnacle Classic located at JP Nagar 1st Phase Outer ring road Bangalore one of the Posh Bangalore Residential corridor,2.48 Cr,"Pinnacle calssic flat no 106 1st floor JP nagar Outer ring road Bangalore, JP Nagar, Bangalore - South, Karnataka",Nandhini hotel,,,,1.3 Lac per month 1.24 Cr loan for 15 years ,Mahesh Naidu
150,3 BHK 1542 Sq-ft Flat,71.7 Lac,"Horamavu, Bangalore",3,3,1,1542,"4,650",Under Construction,New,4 (Out of 13 floors),None,,"Yes, 2",LANDOWNER SHAREProject Total Area – 4.06 Acres.No Of Floor – 13.Total Units – 334 Apartments.Total Open Space – 74% Open Space.,71.7 Lac,"Horamavu, Horamavu, Bangalore - North, Karnataka",Near Church of Hope,,,,"36,361 per month 35.9 Lac loan for 15 years ",Ashish Agarwal
151,3 BHK 1898 Sq-ft Flat,1.80 Cr,"Old Airport Road, Bangalore",3,3,0,1898,"9,484",Ready to Move,New,,None,Unfurnished,Yes,"Welcome to DivyaSree 77 Place, the Only Town centre within the city limits. DivyaSree 77 Place is part of a 72 Acre mixed use town centre within city limits with excellent Social infrastructure and good connectivity to New-Age Offices. DivyaSree 77 Place consists of 370 thoughtfully designed Luxury apartments in 9 different types to suit various needs/budgets of modern Indian families.",1.80 Cr,"Old Airport Road, Bangalore - East, Karnataka",,,2.4% lower than the avg. price,,"91,284 per month 90 Lac loan for 15 years ",Aspire Proptech Consultants Pvt. Ltd.
152,3 BHK 1479 Sq-ft Flat,69.2 Lac,"Bannerghatta Main Road, Bangalore",3,2,0,1479,"4,679",Under Construction,New,,1 Covered,,"Yes, s","Sumukha Tropical Garden is a project conceived for the generation who expect all the contemporary lifestyle facilities for safety, security, health, comfort & convenience.",69.2 Lac,"Bannerghatta Road, Bangalore - South, Karnataka",,,,,"35,094 per month 34.6 Lac loan for 15 years ",Ravi
153,Residential Plot,48.2 Lac,"VIP Layout,Bannerghatta Road,Bangalore",0,0,0,1000,,,,,None,,No,"We are proud to present the extension of VIP Layout. It defines serenity, the place transport you into a realm that resembles paradise itself, as it is the closest thing to Nature with impeccable landscapes that is bound to refresh you day after day. You don't just buy a plot at VIP Layout, you buy peace of mind the serene setting of the gated community is what you have been longing for all this times. You are surrounded by the goodness of nature where everything is a new experience be it going for a stroll, playing with your kids or simply working.",48.2 Lac,"Bannerghatta Road, Bangalore - South, Karnataka",,,,,"24,444 per month 24.1 Lac loan for 15 years ",Suna Miandad
154,3 BHK 1945 Sq-ft Flat,1.92 Cr,"Koramangala, Bangalore",3,3,0,1945,"9,871",Ready to Move,New,,None,Unfurnished,"Yes, s","Esteem Splendor is located in the heart of Bangalore CBD area Koramangala and is just 3 km away from Brigade Road. With one, two and three bedroom apartments to offer, the complex has a total of 125 residences which are all spacious and well ventilated. The posh settings of Koramangala in the backdrop makes life look richer and when the heart desires a shopping spree or delightful food, step in to the shopping and entertainment hub of Bangalore, located just a stone throw away. But in the midst of all this glamour, convenience still prevails with premier schools and top-class medical care right around the block.",1.92 Cr,"Koramangala, Bangalore - South, Karnataka",,,,,"97,370 per month 96 Lac loan for 15 years ",Abhishek Ahuja
155,3 BHK 155 Sq-m Flat,77.8 Lac,"Old Madras Road, Bangalore",3,3,0,155,,Under Construction,New,12 (Out of 18 floors),None,,"Yes, 4","Ankshu Ecstasy is an iconic project from M/s. TGR Projects India Pvt. Ltd. The project is located on old madras road (NH-4) near K R Puram RTO, Bangalore. The Project is raising tall above 3 acres of fresh green space comprises of 302 apartments spread across two towers between two serene lakes.",77.8 Lac,"Old Madras Road, Bangalore - East, Karnataka",,,,,"39,455 per month 38.9 Lac loan for 15 years ",Shyam
156,Residential Plot,30.0 Lac,"Butterfly Gardens,Electronic City,Bangalore",0,0,0,1500,,,,,None,,No,"This gated layout comes with excellent amenities like avenue trees & pathways with lawns, long-lasting concrete roads, beautifully designed landscaped gardens, childrenÃ¢??s play area, rainwater harvesting & sewage treatment plants, high quality underground power cables, high raised boundary walls, overhead tanks & sumps for storage of precious water.",30.0 Lac,"Electronic City, Bangalore - South, Karnataka",,,,,"15,206 per month 15 Lac loan for 15 years ",Asha
157,3 BHK 1825 Sq-ft Flat,77.7 Lac,"Whitefield, Bangalore",3,2,0,1825,"4,258",Under Construction,New,,None,Unfurnished,"Yes, s","Tranquil Towers is the luxurious apartment community developed by Dhruthi Infra Projects Ltd. It is located in the midst of IT SEZ of East Bangalore surrounding more than 700 reputed companies including 30+ MNC. Within a 5 Km vicinity includes Bangalore most eminent tech park such as I.T.P.L, Inner circle park, Sigma Technology Park, GR Tech Park, H M Tech Park, Brigade Tech Park and many more. Walk-able distance to worlds top MNC's, Shopping malls, Hospitals, International schools, and top notch restaurant and hotels, Tranquil Towers allows cherish your life with your family and friends like never before.",77.7 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"39,404 per month 38.9 Lac loan for 15 years ",Tabasum Fathima
158,1 BHK 780 Sq-ft Flat,31.1 Lac,"Bannerghatta Main Road, Bangalore",1,1,0,780,"3,987",Under Construction,New,3 (Out of 3 floors),None,,"Yes, 1","The time has well and truly arrived. To stop racing against time. And put life way ahead. With Opera Springleaf, par excellence apartments at a vantage point on Kodichikanahalli Off Bannerghatta Road, you are close to all places serving all your interests. Your workplace, in particular. And the shopping hubs, schools, colleges, hospitals, socializing avenues, amusement destinations. just about everything.",31.1 Lac,"Bannerghatta Road, Bangalore - South, Karnataka",,,,,"15,772 per month 15.6 Lac loan for 15 years ",Shushanth
159,Residential Plot,56.3 Lac,"JR Urbania,Chandapura,Bangalore",0,0,0,2400,,,,,None,,"Yes, s","JR Urbania by JR Housing offers BMRDA approved residential plots, sites/lands for sale near Electronic city Bangalore. With easy access via Hosur Road, Bannerghatta Road, chandapura-anekal road & Hoskote, you'll be just minutes away from Electronics City. Rest assured your investment is bound to get you rich dividends while you spend some quality time with your family.",56.3 Lac,"Chandapura, Bangalore - South, Karnataka",,,,,"28,552 per month 28.2 Lac loan for 15 years ",Niranjan Reddy
160,3 BHK 1758 Sq-ft Flat,82.3 Lac,"Marathahalli, Bangalore",3,3,0,1758,"4,681",Ready to Move,New,,None,Unfurnished,"Yes, s","Saranya Soham is one of the popular Residential Developments in Kundalahalli neighbourhood of Bangalore. It is among the Launching Project of Saranya Group. The landscape is beautiful with spacious 4 Blocks of 2 & 3 BHK high End apartments. Saranya Soham offers luxurious apartments with all modern amenities. Our projects have unique design features, high quality finish and world-class amenities.",82.3 Lac,"Marathahalli, Bangalore - East, Karnataka",,,4.7% higher than the avg. price,,"41,737 per month 41.2 Lac loan for 15 years ",Lohith C
161,3 BHK 1653 Sq-ft Flat,82.4 Lac,"Whitefield, Bangalore",1,3,0,1653,"4,985",Ready to Move,New,12 (Out of 13 floors),1 Covered,,"Yes, 2","Enjoy Life in its Vibrant hues Oceanus Classic, as its name rightly suggests, is all about living life in its vibrant hues and splendour. This apartment complex, located at White Field Road, close to IT Park, Bangalore, comprises 2 & 3 BHK luxury living spaces. Oceanus Classic boasts of all the features that make for a gracious lifestyle. Besides, a leisurely stroll away, is the best of shopping and recreational avenues. Excellent educational institutions and medical facilities too, are close at hand.",82.4 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"41,788 per month 41.2 Lac loan for 15 years ",Jacob
162,3 BHK 1645 Sq-ft Flat,59.2 Lac,"Singapura, Bangalore",3,3,0,1645,"3,600",Under Construction,New,5 (Out of 10 floors),"1 Covered, 1 Open",,"Yes, 2","We understand the value of your hard-earned money. We know the hard work you put in to fulfill your familys dreams. We realize how difficult it is to give up your familiar surroundings and venture into a whole new territory. And yes, we feel you deserve more, much more. Thats why we bring you smr vinay estella - a perfect balance of location, design, comfort and affordability. To experience a perfectly balanced lifestyle, heres where you should be.",59.2 Lac,"Singapura, Bangalore - North, Karnataka",,,,,"30,032 per month 29.6 Lac loan for 15 years ",Mohammed Younus
163,2 BHK 1315 Sq-ft Flat,59.6 Lac,"Varthur, Bangalore",2,2,0,1315,"4,532",Under Construction,New,,None,,"Yes, s","ATZ Estrella is a latest premium apartment proudly announce by ATZ Properties. ATZ Estrella is set in naturally move by premium 2 BHK and 3 BHK flats sprawled across 1.17 acres of total Land. The project homes are located just 100m from Varthur Main Road.ATZ Estrella designed with a green open courtyard style green patch where the perfect place to catch up on the lives of neighbours, chat and build a friendly community. The project comes with one side of the apartment face is the courtyard, giving a feel of greenery and fresh air, with jogging trail, green lawns, vast open spaces. ATZ Estrella Price is affordable that are perfectly planned to offer indoor comfort and outdoor open spaces. ATZ Estrella Reviews, the classy, the stand-alone Clubhouse has a health club with sauna, steam, gym, aerobics, etc. Tennis court, infinity pool for adults and kids, pool, basketball court, amphitheatre in fact everything to keep both mind and body fit.",59.6 Lac,"Varthur, Bangalore - East, Karnataka",,,,,"30,225 per month 29.8 Lac loan for 15 years ",ATZ Properties
164,2 BHK Residential House - 900 Sq-ft,60.0 Lac,se K R Puram,2,2,0,900,"6,667",Under Construction,New,,None,Unfurnished,No,"NS Paradise Township is one of the popular residential developments in K R Puram, neighbourhood of Bangalore. It is among the ongoing projects of NS Developers. It has lavish yet thoughtfully designed residences.",60.0 Lac,"K R Puram, Bangalore - East, Karnataka",,,,,"30,428 per month 30 Lac loan for 15 years ",Harish
165,2 BHK 1299 Sq-ft Flat,56.8 Lac,"Sarjapur Road, Bangalore",2,2,0,1299,"4,375",Under Construction,New,,1 Covered,,"Yes, 1","Leading names in Architecture, Landscaping and Planning have come together to create the perfect living precinct, that is Land Capital Primero. The rooftop clubhouse Club Primero features a Sky Pool, Game Zone and fully-loaded Gymnasium, among other state-of-the-art amenities. With all this and so much more, Land Capital Primero is the perfect place to call home.",56.8 Lac,"Sarjapur Road, Bangalore - East, Karnataka",,,,,"28,821 per month 28.4 Lac loan for 15 years ",Bhagyaraj
166,3 BHK 1725 Sq-ft Flat,94.9 Lac,"Hosa Road, Bangalore",1,3,0,1725,"5,500",Ready to Move,New,10 (Out of 14 floors),1 Covered,,"Yes, 2","Mahaveer Ranches Parappana Agrahara, Off Sarjapur Road, have been developed by Mahaveer Group and is meticulously designed with unbound convenience & the best of amenities and are an effortless blend of modernity and elegance. Mahaveer Ranches sale has started to increase since the builder's understand the aesthetics of a perfectly harmonious space called ""Home"" that is why it offers unique blend of spacious as well as well-ventilated rooms. Mahaveer Ranches brochure shows the in detail and best utilization of the space.",94.9 Lac,"Hosa Road, Bangalore - South, Karnataka",,,3.2% higher than the avg. price,,"48,114 per month 47.4 Lac loan for 15 years ",Pulkit Gupta
167,2 BHK 1256 Sq-ft Flat,68.4 Lac,"Whitefield, Bangalore",2,2,0,1256,"5,448",Under Construction,New,,1 Covered,,"Yes, 2",SV Legacy Contemporary architectural form is a compelling contrast to the surrounding precinct and brings distinguishes character to the city sky line. SV Legacy sets in motion a lifestyle legacy like no other near Hope Farm Circle.,68.4 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"34,699 per month 34.2 Lac loan for 15 years ",Madhu Konda
168,2 BHK 1140 Sq-ft Flat,49.0 Lac,"Marathahalli, Bangalore",1,2,0,1140,"4,298",Ready to Move,New,,1 Covered,Furnished,"Yes, 2","Saranya Soham is one of the popular Residential Developments in Kundalahalli neighbourhood of Bangalore. It is among the Launching Project of Saranya Group. The landscape is beautiful with spacious 4 Blocks of 2 & 3 BHK high End apartments. Saranya Soham offers luxurious apartments with all modern amenities. Our projects have unique design features, high quality finish and world-class amenities. A rare promise to keep in today's warming real estate market, every property is on schedule and construction is progressing at an aggressive pace. The customers can count on us for all property related requirements whether small or big. Forever in pursuit of better customer service, Saranya Group provides revolutionary and innovative financial services for their customers with unique partnerships with leading financial institutions across the country.",49.0 Lac,"Marathahalli, Bangalore - East, Karnataka",,,3.8% lower than the avg. price,,"24,850 per month 24.5 Lac loan for 15 years ",Kiran
169,2 BHK 955 Sq-ft Flat,44.0 Lac,"Kadugodi, Bangalore",1,2,0,955,"4,607",Under Construction,New,1 (Out of 4 floors),None,,"Yes, 3","5 Elements, a premium lifestyle apartment strategically located in Whitefield. This luxury lifestyle apartment offers 5 floors of premium 2 BHK and 3 BHK flats. Each designed sophisticatedly for spacious interiors, ample lighting and lavish modern facilities. Spread over 75000 SQFT compound, 5 elements beautifully combines the essence of modern urban living with the peaceful ambiance with a complete balance on the five elements of nature.",44.0 Lac,"Whitefield, Bangalore, Kadugodi, Bangalore - East, Karnataka",,,,,"22,314 per month 22 Lac loan for 15 years ",Anand Naidu
170,3 BHK 1490 Sq-ft Flat,49.9 Lac,"Electronics City Phase 1, Bangalore",3,3,0,1490,"3,349",Ready to Move,New,,1 Covered,Semi-Furnished,"Yes, 2","This East facing apartment is located at Electronic City Phase I, Bangalore. It is spread across 5 acres with lots of open spaces.",49.9 Lac,"Electronics City Phase 1, Bangalore - South, Karnataka",,New Construction,,,"25,306 per month 25 Lac loan for 15 years ",Narendra Chary
171,2 BHK 1196 Sq-ft Flat,40.5 Lac,"Rajarajeshwari Nagar, Bangalore",2,2,1,1196,"3,386",Ready to Move,New,,"1 Covered, 1 Open",,"Yes, 3","Grand Gandharva is Situated in Mysore Road, west of Bangalore,The landmark, aptly away from the hustle and bustle of the city makes you and your family secure, easy connectivity from Nice Road to International Airport,IT hub Electronic City and all parts of city. Surrounded by International educational Institutions, Hospitals and Shopping malls.The complete luxurious lifestyles experience at Grand Ghandharva designer Club house that endeavours rich relaxing ambience with facilities you and your family need to rejuvenate and celebrate.",40.5 Lac,"Rajarajeshwari Nagar, Bangalore - South, Karnataka",Near by Bata Showroom,New Construction,,,"20,539 per month 20.3 Lac loan for 15 years ",Sukruth
