,Headline,Price,Address,Bedrooms,Bathrooms,Balcony,Super Area,Price per sqft,Status,Transaction Type,Floor,Car parking,Furnished status,Lifts,Description,Price breakup,Address,Landmarks,Age of construction,Price comparison,Expected rent,Monthly EMI,Owner/Builder
10,3 BHK 1240 Sq-ft Flat,68.3 Lac,"Harlur, Bangalore",1,2,0,1240,"5,508",Under Construction,New,4 (Out of 4 floors),None,,"Yes, 2",ABHEE NANDANA is modern architecture coupled with subtle character and delivers premium craftsmanship and uncompromising living spaces to give you the dream Home you've always wanted.,68.3 Lac,"Harlur, Bangalore, Karnataka",,,,,"34,637 per month 34.2 Lac loan for 15 years ",Nagaraja Reddy
11,2 BHK 1039 Sq-ft Flat,67.0 Lac,"Thanisandra, Bangalore",1,2,0,1039,"6,449",Under Construction,New,13 (Out of 13 floors),None,,"Yes, 4","CoEvolve Northern Star is designed to offer a stylish lifestyle with modern amenities as a best in class property to be proud of. What others will never be able to match is our majestic elevation, ultra contemporary specifications & honest pricing.",67.0 Lac,"Thanisandra, Bangalore - North, Karnataka",,,14.7% higher than the avg. price,,"33,980 per month 33.5 Lac loan for 15 years ",Singh
12,3 BHK Flat,77.3 Lac,"Electronic City, Bangalore",3,3,0,1119,,Under Construction,New,,1 Covered,,No,"Built with innovations that make life most perfect, I- Towers redefines modern living. Perfectly located in the hub of South East Bangalore. Integrating technology, design, aesthetics AND a world of sustainable thinking, I - Towers starts and ends with your family and you. I Towers exente is the perfect work - life integration.10 min walk to Infosys, GE, TCS, Tech Mahindra, Schneider Electric, HP AND many other corporatesQuick access to Electronic city phase 1 AND 2.Mere 800 meters from the proposed Metro station.One of the tallest towers in the vicinity with 3 side open view of the city.",77.3 Lac,"Electronic City, Bangalore - South, Karnataka",,,,,"39,201 per month 38.7 Lac loan for 15 years ",Abdul Saleem
13,2 BHK 1234 Sq-ft Flat,57.8 Lac,"Whitefield, Bangalore",1,2,0,1234,"4,684",Under Construction,New,3 (Out of 3 floors),None,,"Yes, 2",Desai Grandeur is an address that invokes a passion for life. Desired by many and enjoyed by a chosen few.,57.8 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"29,312 per month 28.9 Lac loan for 15 years ",Reddy
14,2 BHK 1080 Sq-ft Flat,67.7 Lac,"Whitefield, Bangalore",2,2,0,1080,"6,269",Ready to Move,New,,1 Covered,,"Yes, 1","Samarth Gajanana Sumuk, located in Bangalore, is a residential development of Samarth Realty Developers. It offers spacious and skilfully designed 2BHK and 3BHK apartments. The project is well equipped with all the basic amenities to facilitate the needs of the residents. The site is in close proximity to various civic utilities.",67.7 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"34,333 per month 33.9 Lac loan for 15 years ",Y Prasad
15,2 BHK 1215 Sq-ft Flat,59.6 Lac,"Gottigere, Bangalore",2,2,0,1215,"4,905",Under Construction,New,,1 Covered,,"Yes, 2","PARIWAR PRAGATHI is superbly located, JUST 800 meters from the upcoming Metro Station at Gottigere Main Road off Bannerghatta Road, and only 1.Kms before the Nice Road , with quick and easy connectivity to major and prominent locations in Bangalore, such as Electronic City, and the CBD via Bannerghatta Road. At PARIWAR PRAGATHI you can enjoy vast 75% open spaces, as there are only 258 apartments on 4.5 acres of land, with beautiful views of the Nice Road, as well as open place on both sides of the property. PARIWAR PRAGATHI is your address and others landmark.",59.6 Lac,"Gottigere, Kammanahalli Village, Bangalore, Gottigere, Bangalore - South, Karnataka",,,,,"30,225 per month 29.8 Lac loan for 15 years ",Vibin Pariwarpragathi
16,3 BHK 1303 Sq-ft Flat,77.9 Lac,"Kudlu Gate, Bangalore",3,2,1,1303,"5,979",Ready to Move,New,6 (Out of 9 floors),1 Covered,,"Yes, 1",Brand new 3 BHK Ready to move in flat in kudlu gate with good connectivity for know locations,77.9 Lac,"Prospect Princeton flat no 606 6th floor AECS B block manipal county road begur Bangalore, Kudlu Gate, Bangalore - South, Karnataka",nearby bus stop,New Construction,,,"39,506 per month 39 Lac loan for 15 years ",Sripriya
17,4 BHK Villa,1.67 Cr,"Mahalakshmi Misty Meadows,Whitefield,Bangalore",1,4,0,2525,"6,614",Under Construction,New,,None,,No,"Design that complements your lifestyle is a thing of delight. At Misty Meadows, designs excellence is evident everywhere you will find the design philosophy at Misty Meadows refreshing with an international look and feel, illuminated airy space freedom to move around personal indoor and outdoor spaces like patios & terraces, inherent design maturity implies that your lifestyle considerations, no matter what your lifestyle are met.",1.67 Cr,"Whitefield, Bangalore - East, Karnataka",,,,,"84,691 per month 83.5 Lac loan for 15 years ",Srinivas Reddy Vutukuri
18,3 BHK 1355 Sq-ft Flat,56.7 Lac,"Sarjapur Road, Bangalore",3,3,0,1355,"4,184",Under Construction,New,,1 Covered,Unfurnished,"Yes, 6","Subhiksha apartments is one of a kind investment opportunity, leading to lots of prosperity. Location wise, amenity wise, and quality wise, it fits the bill when it comes to the discerning seekers of value homes. Hence, Subhiksha means return on investment in every sense.",56.7 Lac,"Kumaraswamy Layout, Bangalore, Sarjapur Road, Bangalore - East, Karnataka",,,,,"28,748 per month 28.3 Lac loan for 15 years ",Rajesh
19,2 BHK 910 Sq-ft Flat,57.4 Lac,"Whitefield, Bangalore",2,2,0,910,"6,307",Under Construction,New,5 (Out of 9 floors),None,,"Yes, 2","SBR Horizon is complete with all contemporary comforts you have dreamt of. Every home will impress you with its sheer living space. Indulge your senses and pamper yourself with unrestrained luxury. Hold court in the lavish super-sized living room, where the wide screen image on your plasma panel is rivalled only by the sunrise or sunset view from your open-air room.",57.4 Lac,"Whitefield, Bangalore - East, Karnataka",,,2.1% higher than the avg. price,,"29,107 per month 28.7 Lac loan for 15 years ",Nagesh Kalam
